Movie
12 Monkeys
3615 Code Pere Noel (1989)
5- Headed Shark Attack (2017)
A Kid in King Arthur’s Court
A Knight's Tale (2001)
Ace Ventura: Pet Detective (1994)
Action Jackson (1988)
After Blue (Dirty Paradise)
After Earth (2013)
After Last Season (2009)
Airheads (1994)
America 3000 (1986)
American Cyborg: Steel Warrior (1993)
American Ultra (2015)
An American Hippie in Israel (1972)
Annette
Anyone But You (2023)
Apollo 18 (2011)
Aquaman 2 (2023)
Arena
Army of One (2016)
At Close Range (1986)
"Ator, The blade master (cave dwellers)"
Avatar (2009)
Babe 2: Pig in the City
Back to School (1986)
Bad Channels (1992)
Banlieue 13 (2004)
Beauty and the Beast (2017)
Bedazzled (2000)
Beverly Hills Ninja
Bill & Ted (original)
Black Hole (1979)
Black Moon (1975)
"Black Sheep (2006, NZ)"
Blades of Glory (2007)
Blast from the Past (1999)
Blood Diner (1987)
Blood Dolls (1999)
Blue Velvet
Bog (1979)
Boltneck (2000)
Brazil
Brotherhood of the Wolf
Carnal Knowledge (1971)
Charlie Chan in Egypt (1935)
Cinderella (2021)
Click (2006)
Cocktail
Coherence (2013)
Coherence (2016)
Crank
Crimewave (1985)
Critters 2 (1988)
Cruel Intentions 2 (2000)
Crybaby
Cutthroat Island (1995)
Cyber Ninja (1988)
Dancin' It's On (2015)
Dangerous Minds
Dante’s Peak
Dark Star (1974)
Dave (1993)
Dead Ringers (1988)
Death Machine (1994)
Deathnote (2017)
Decoys
Deep Impact
Deep Rising (1998)
Delta Force (1986)
Dick (1999)
Dick Tracy (1990)
Dirty Dancing (1987)
Dodgeball (2004)
Dollman (1991)
Double Dragon (1994)
Dragnet (1987)
Dragonball Evolution (2009)
Eastern Promises
Eating Raoul (1982)
Eegah (1962)
Empire Records
End of Days
Enter the Dragon
Equilibrium
Ernest Goes to Africa
Evil Bong
Fatal Deviation (1998)
Final Days of Planet Earth (2006)
Final Destination
Four Lions (2010)
Freejack (1992)
Furiosa
Galaxis (1995)
Gantz: O (2016)
Get to Know Your Rabbit (1972)
Ghost Dad
Go (1999)
Grumpy Old Men (1993)
Guarding Tess
Halloweed Night
Head of State (2003)
Heat
Hell Squad (1986)
Highlander: The Source (2007)
History of the World Part I
Hit Man
Hitch
Holy Trinity (2019)
How Sarah Got Her Wings
Hubie Halloween
Humshakals (2016)
Inchon (1981)
Incident in Lake County (1998)
Independence Day
Invasion U.S.A. (1985)
Ishtar (1987)
It Follows (2014)
It's a Disaster
It's a Mad Mad Mad World (1963)
It's the Rage (1999)
JFK
Jack and Jill (2011)
Jiu Jitsu
Joe’s Apartment (1996)
Johnny Guitar (1954)
Jungle Trap (1990)
Kill Bill
